Location,Cycle Time (Mins),Payment Type ,Risk Level
CAY,280,Urgent,ENH
CAY,270,Urgent,ENH
CAY,266,Urgent,ENH
CUR,251,Non Urgent,ENH
CAY,251,Urgent,ENH
CUR,242,Non Urgent,ENH
CUR,237,Non Urgent,ENH
CUR,237,Non Urgent,ENH
CUR,232,Non Urgent,ENH
CUR,226,Non Urgent,ENH
CUR,226,Non Urgent,ENH
CUR,225,Non Urgent,ENH
CUR,224,Non Urgent,ENH
CUR,222,Non Urgent,ENH
CUR,222,Non Urgent,ENH
CUR,221,Non Urgent,ENH
CUR,219,Non Urgent,ENH
CUR,219,Non Urgent,ENH
CUR,219,Non Urgent,ENH
CUR,218,Non Urgent,ENH
CUR,217,Non Urgent,ENH
CUR,217,Non Urgent,ENH
CUR,217,Non Urgent,ENH
CUR,217,Non Urgent,ENH
CUR,217,Non Urgent,ENH
CUR,216,Non Urgent,ENH
CUR,216,Non Urgent,ENH
CUR,216,Non Urgent,ENH
CUR,216,Non Urgent,ENH
CUR,215,Non Urgent,ENH
CUR,215,Non Urgent,ENH
CUR,215,Non Urgent,ENH
CUR,214,Non Urgent,ENH
CUR,214,Non Urgent,ENH
CUR,214,Non Urgent,ENH
CAY,214,Urgent,ENH
CUR,213,Non Urgent,ENH
CUR,213,Non Urgent,ENH
CUR,213,Non Urgent,ENH
CUR,212,Non Urgent,ENH
CUR,212,Non Urgent,ENH
CUR,212,Non Urgent,ENH
CUR,211,Non Urgent,ENH
CUR,211,Non Urgent,ENH
CUR,211,Non Urgent,ENH
CUR,211,Non Urgent,ENH
CUR,210,Non Urgent,ENH
CAY,209,Urgent,ENH
CUR,209,Non Urgent,ENH
CUR,209,Non Urgent,ENH
CUR,207,Non Urgent,ENH
CUR,207,Non Urgent,ENH
CUR,207,Non Urgent,ENH
CUR,206,Non Urgent,ENH
CUR,206,Non Urgent,ENH
CUR,206,Non Urgent,ENH
CUR,206,Non Urgent,ENH
CAY,206,Non Urgent,ENH
CUR,205,Non Urgent,ENH
CUR,205,Non Urgent,ENH
CUR,205,Non Urgent,ENH
CUR,205,Non Urgent,ENH
CUR,205,Non Urgent,ENH
CUR,205,Non Urgent,ENH
CUR,205,Non Urgent,ENH
CUR,205,Non Urgent,ENH
CUR,204,Non Urgent,ENH
CAY,204,Non Urgent,ENH
CUR,203,Non Urgent,ENH
CUR,203,Non Urgent,ENH
CUR,203,Non Urgent,ENH
CUR,203,Non Urgent,ENH
CUR,203,Non Urgent,ENH
CAY,203,Urgent,ENH
CUR,202,Non Urgent,ENH
CUR,202,Non Urgent,ENH
CUR,202,Non Urgent,ENH
CUR,202,Non Urgent,ENH
CUR,202,Non Urgent,ENH
CUR,202,Non Urgent,ENH
CUR,202,Non Urgent,ENH
CUR,201,Urgent,ENH
CUR,201,Non Urgent,ENH
CUR,201,Non Urgent,ENH
CUR,201,Non Urgent,ENH
CUR,200,Non Urgent,ENH
CUR,200,Non Urgent,ENH
CUR,200,Non Urgent,ENH
CAY,200,Non Urgent,ENH
CAY,200,Non Urgent,ENH
CAY,200,Non Urgent,ENH
CUR,199,Urgent,ENH
CUR,199,Non Urgent,ENH
CUR,199,Non Urgent,ENH
CUR,199,Non Urgent,ENH
CUR,199,Non Urgent,ENH
CAY,199,Non Urgent,ENH
CAY,199,Non Urgent,ENH
CUR,198,Urgent,ENH
CUR,198,Non Urgent,ENH
CAY,198,Non Urgent,ENH
CAY,198,Non Urgent,ENH
CUR,197,Non Urgent,ENH
CUR,197,Non Urgent,ENH
CUR,197,Non Urgent,ENH
CUR,197,Non Urgent,ENH
CAY,197,Non Urgent,ENH
CAY,197,Non Urgent,ENH
CAY,197,Non Urgent,ENH
CAY,197,Urgent,ENH
CUR,196,Non Urgent,ENH
CUR,196,Non Urgent,ENH
CAY,196,Non Urgent,ENH
CAY,196,Non Urgent,ENH
CUR,195,Non Urgent,ENH
CUR,195,Non Urgent,ENH
CUR,195,Non Urgent,ENH
CAY,195,Non Urgent,ENH
CUR,194,Non Urgent,ENH
CUR,194,Non Urgent,ENH
CUR,194,Non Urgent,ENH
CUR,194,Non Urgent,ENH
CUR,194,Non Urgent,ENH
CAY,194,Non Urgent,ENH
CAY,194,Urgent,ENH
CUR,193,Non Urgent,ENH
CAY,193,Non Urgent,ENH
CAY,193,Non Urgent,ENH
CAY,193,Non Urgent,ENH
CUR,192,Non Urgent,ENH
CUR,192,Non Urgent,ENH
CUR,192,Non Urgent,ENH
CUR,192,Non Urgent,ENH
CUR,192,Non Urgent,ENH
CUR,192,Non Urgent,ENH
CUR,192,Non Urgent,ENH
CAY,192,Non Urgent,ENH
CAY,192,Non Urgent,ENH
CAY,192,Non Urgent,ENH
CAY,192,Urgent,ENH
CUR,191,Non Urgent,ENH
CUR,191,Non Urgent,ENH
CUR,191,Non Urgent,ENH
CUR,191,Non Urgent,ENH
CUR,191,Non Urgent,ENH
CUR,191,Non Urgent,ENH
CUR,191,Non Urgent,ENH
CAY,191,Non Urgent,ENH
CAY,191,Non Urgent,ENH
CUR,190,Non Urgent,ENH
CUR,190,Non Urgent,ENH
CUR,190,Non Urgent,ENH
CAY,190,Non Urgent,ENH
CAY,190,Non Urgent,ENH
CAY,190,Non Urgent,ENH
CAY,190,Non Urgent,ENH
CAY,190,Non Urgent,ENH
CAY,190,Non Urgent,ENH
CAY,190,Urgent,ENH
CUR,189,Urgent,ENH
CUR,189,Non Urgent,ENH
CAY,189,Non Urgent,ENH
CAY,189,Non Urgent,ENH
CAY,189,Non Urgent,ENH
CAY,188,Urgent,ENH
CAY,188,Urgent,ENH
CAY,188,Non Urgent,ENH
CAY,188,Non Urgent,ENH
CAY,188,Non Urgent,ENH
CAY,188,Non Urgent,ENH
CAY,188,Non Urgent,ENH
CAY,188,Non Urgent,ENH
CAY,188,Non Urgent,ENH
CAY,187,Urgent,ENH
CUR,187,Non Urgent,ENH
CUR,187,Non Urgent,ENH
CUR,187,Non Urgent,ENH
CAY,187,Non Urgent,ENH
CAY,187,Non Urgent,ENH
CAY,187,Non Urgent,ENH
CUR,186,Non Urgent,ENH
CUR,186,Non Urgent,ENH
CUR,186,Non Urgent,ENH
CAY,186,Non Urgent,ENH
CAY,186,Non Urgent,ENH
CAY,186,Non Urgent,ENH
CAY,185,Urgent,ENH
CAY,185,Urgent,ENH
CUR,185,Non Urgent,ENH
CUR,185,Non Urgent,ENH
CAY,185,Non Urgent,ENH
CAY,185,Non Urgent,ENH
CAY,185,Non Urgent,ENH
CAY,185,Non Urgent,ENH
CAY,185,Non Urgent,ENH
CAY,185,Urgent,ENH
CAY,184,Urgent,ENH
CUR,184,Non Urgent,ENH
CAY,184,Non Urgent,ENH
CAY,184,Non Urgent,ENH
CAY,184,Non Urgent,ENH
CAY,184,Non Urgent,ENH
CAY,184,Urgent,ENH
CUR,183,Non Urgent,ENH
CUR,183,Non Urgent,ENH
CAY,183,Non Urgent,ENH
CAY,183,Non Urgent,ENH
CAY,183,Non Urgent,ENH
CAY,183,Non Urgent,ENH
CAY,183,Non Urgent,ENH
CAY,183,Non Urgent,ENH
CAY,183,Non Urgent,ENH
CAY,183,Urgent,ENH
CAY,182,Urgent,ENH
CAY,182,Urgent,ENH
CUR,182,Non Urgent,ENH
CAY,182,Non Urgent,ENH
CAY,182,Non Urgent,ENH
CAY,182,Non Urgent,ENH
CUR,181,Non Urgent,ENH
CUR,181,Non Urgent,ENH
CUR,181,Non Urgent,ENH
CUR,181,Non Urgent,ENH
CAY,181,Non Urgent,ENH
CAY,181,Non Urgent,ENH
CAY,181,Non Urgent,ENH
CAY,181,Non Urgent,ENH
CAY,181,Non Urgent,ENH
CUR,180,Non Urgent,ENH
CUR,180,Non Urgent,ENH
CUR,180,Non Urgent,ENH
CAY,180,Non Urgent,ENH
CAY,180,Non Urgent,ENH
CAY,180,Urgent,ENH
CAY,180,Urgent,ENH
CAY,179,Urgent,ENH
CUR,179,Non Urgent,ENH
CAY,179,Non Urgent,ENH
CAY,179,Non Urgent,ENH
CAY,179,Non Urgent,ENH
CAY,179,Non Urgent,ENH
CAY,179,Non Urgent,ENH
CAY,179,Non Urgent,ENH
CAY,179,Urgent,ENH
CAY,179,Urgent,ENH
CAY,179,Urgent,ENH
CAY,178,Urgent,ENH
CAY,178,Non Urgent,ENH
CAY,178,Non Urgent,ENH
CAY,178,Non Urgent,ENH
CAY,178,Non Urgent,ENH
CAY,178,Non Urgent,ENH
CAY,178,Non Urgent,ENH
CAY,177,Urgent,ENH
CAY,177,Urgent,ENH
CAY,177,Urgent,ENH
CUR,177,Non Urgent,ENH
CAY,177,Non Urgent,ENH
CAY,177,Non Urgent,ENH
CAY,177,Non Urgent,ENH
CAY,177,Non Urgent,ENH
CAY,177,Non Urgent,ENH
CAY,177,Non Urgent,ENH
CAY,177,Non Urgent,ENH
CAY,177,Non Urgent,ENH
CAY,177,Non Urgent,ENH
CAY,177,Non Urgent,ENH
CUR,176,Non Urgent,ENH
CAY,176,Non Urgent,ENH
CAY,176,Non Urgent,ENH
CAY,176,Non Urgent,ENH
CAY,176,Non Urgent,ENH
CAY,176,Non Urgent,ENH
CAY,176,Non Urgent,ENH
CAY,176,Urgent,ENH
CAY,176,Urgent,ENH
CUR,175,Non Urgent,ENH
CAY,175,Non Urgent,ENH
CAY,175,Non Urgent,ENH
CAY,175,Non Urgent,ENH
CAY,174,Urgent,ENH
